小選挙区,候補者,比例,候補者,候補者,候補者,候補者
群馬5区,,北関東,武藤かず子,,,
埼玉1区,,北関東,武藤かず子,,,
埼玉2区,,北関東,武藤かず子,,,
埼玉3区,,北関東,武藤かず子,,,
埼玉4区,,北関東,武藤かず子,,,
埼玉5区,,北関東,武藤かず子,,,
埼玉6区,,北関東,武藤かず子,,,
埼玉7区,,北関東,武藤かず子,,,
埼玉8区,,北関東,武藤かず子,,,
埼玉9区,,北関東,武藤かず子,,,
埼玉10区,,北関東,武藤かず子,,,
埼玉11区,,北関東,武藤かず子,,,
埼玉12区,,北関東,武藤かず子,,,
埼玉13区,,北関東,武藤かず子,,,
埼玉14区,,北関東,武藤かず子,,,
埼玉15区,,北関東,武藤かず子,,,
埼玉16区,,北関東,武藤かず子,,,
千葉1区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉2区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉3区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉4区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉5区,小林しゅうへい,南関東,河合みちお,山田えり,小林しゅうへい,
千葉6区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉7区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉8区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉9区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉10区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉11区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉12区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉13区,,南関東,河合みちお,山田えり,小林しゅうへい,
千葉14区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川1区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川2区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川3区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川4区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川5区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川6区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川7区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川8区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川9区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川10区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川11区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川12区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川13区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川14区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川15区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川16区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川17区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川18区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川19区,,南関東,河合みちお,山田えり,小林しゅうへい,
神奈川20区,,南関東,河合みちお,山田えり,小林しゅうへい,
山梨1区,,南関東,河合みちお,山田えり,小林しゅうへい,
山梨2区,,南関東,河合みちお,山田えり,小林しゅうへい,
東京1区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京2区,土橋あきひろ,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京3区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京4区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京5区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京6区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京7区,みねしま侑也,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京8区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京9区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京10区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京11区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京12区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京13区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京14区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京15区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京16区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京17区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京18区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京19区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京20区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京21区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京22区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京23区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京24区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京25区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京26区,うさみ登,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京27区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京28区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京29区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
東京30区,,東京都,高山さとし,みねしま侑也,うさみ登,土橋あきひろ
新潟1区,,北陸信越,,,,
新潟2区,,北陸信越,,,,
新潟3区,,北陸信越,,,,
新潟4区,,北陸信越,,,,
新潟5区,,北陸信越,,,,
富山1区,,北陸信越,,,,
富山2区,,北陸信越,,,,
富山3区,,北陸信越,,,,
石川1区,,北陸信越,,,,
石川2区,,北陸信越,,,,
石川3区,,北陸信越,,,,
福井1区,,北陸信越,,,,
福井2区,,北陸信越,,,,
長野1区,,北陸信越,,,,
長野2区,,北陸信越,,,,
長野3区,,北陸信越,,,,
長野4区,,北陸信越,,,,
長野5区,,北陸信越,,,,
岐阜1区,,東海,須田えいたろう,,,
岐阜2区,,東海,須田えいたろう,,,
岐阜3区,,東海,須田えいたろう,,,
岐阜4区,,東海,須田えいたろう,,,
岐阜5区,,東海,須田えいたろう,,,
静岡1区,,東海,須田えいたろう,,,
静岡2区,,東海,須田えいたろう,,,
静岡3区,,東海,須田えいたろう,,,
静岡4区,,東海,須田えいたろう,,,
静岡5区,,東海,須田えいたろう,,,
静岡6区,,東海,須田えいたろう,,,
静岡7区,,東海,須田えいたろう,,,
静岡8区,,東海,須田えいたろう,,,
愛知1区,,東海,須田えいたろう,,,
愛知2区,,東海,須田えいたろう,,,
愛知3区,,東海,須田えいたろう,,,
愛知4区,,東海,須田えいたろう,,,
愛知5区,,東海,須田えいたろう,,,
愛知6区,,東海,須田えいたろう,,,
愛知7区,,東海,須田えいたろう,,,
愛知8区,,東海,須田えいたろう,,,
愛知9区,,東海,須田えいたろう,,,
愛知10区,,東海,須田えいたろう,,,
愛知11区,,東海,須田えいたろう,,,
愛知12区,,東海,須田えいたろう,,,
愛知13区,,東海,須田えいたろう,,,
愛知14区,,東海,須田えいたろう,,,
愛知15区,,東海,須田えいたろう,,,
愛知16区,,東海,須田えいたろう,,,
三重1区,,東海,須田えいたろう,,,
三重2区,,東海,須田えいたろう,,,
三重3区,,東海,須田えいたろう,,,
三重4区,,東海,須田えいたろう,,,
滋賀1区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
滋賀2区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
滋賀3区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都1区,堀場さち子,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都2区,酒井ゆうすけ,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都3区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都4区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都5区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
京都6区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪1区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪2区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪3区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪4区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪5区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪6区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪7区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪8区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪9区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪10区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪11区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪12区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪13区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪14区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪15区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪16区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪17区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪18区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
大阪19区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫1区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫2区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫3区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫4区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫5区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫6区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫7区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫8区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫9区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫10区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫11区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
兵庫12区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
奈良1区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
奈良2区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
奈良3区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
和歌山1区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
和歌山2区,,近畿,山本たけよし,堀場さち子,酒井ゆうすけ,
鳥取1区,,中国,,,,
鳥取2区,,中国,,,,
島根1区,,中国,,,,
島根2区,,中国,,,,
岡山1区,,中国,,,,
岡山2区,,中国,,,,
岡山3区,,中国,,,,
岡山4区,,中国,,,,
広島1区,,中国,,,,
広島2区,,中国,,,,
広島3区,,中国,,,,
広島4区,,中国,,,,
広島5区,,中国,,,,
広島6区,,中国,,,,
山口1区,,中国,,,,
山口2区,,中国,,,,
山口3区,,中国,,,,
徳島1区,,四国,,,,
徳島2区,,四国,,,,
香川1区,,四国,,,,
香川2区,,四国,,,,
香川3区,,四国,,,,
愛媛1区,,四国,,,,
愛媛2区,,四国,,,,
愛媛3区,,四国,,,,
高知1区,,四国,,,,
高知2区,,四国,,,,
福岡1区,,九州,古川あおい,,,
福岡2区,,九州,古川あおい,,,
福岡3区,,九州,古川あおい,,,
福岡4区,,九州,古川あおい,,,
福岡5区,,九州,古川あおい,,,
福岡6区,,九州,古川あおい,,,
福岡7区,,九州,古川あおい,,,
福岡8区,,九州,古川あおい,,,
福岡9区,,九州,古川あおい,,,
福岡10区,,九州,古川あおい,,,
福岡11区,,九州,古川あおい,,,
佐賀1区,,九州,古川あおい,,,
佐賀2区,,九州,古川あおい,,,
長崎1区,,九州,古川あおい,,,
長崎2区,,九州,古川あおい,,,
長崎3区,,九州,古川あおい,,,
熊本1区,,九州,古川あおい,,,
熊本2区,,九州,古川あおい,,,
熊本3区,,九州,古川あおい,,,
熊本4区,,九州,古川あおい,,,
大分1区,,九州,古川あおい,,,
大分2区,,九州,古川あおい,,,
大分3区,,九州,古川あおい,,,
宮崎1区,,九州,古川あおい,,,
宮崎2区,,九州,古川あおい,,,
宮崎3区,,九州,古川あおい,,,
鹿児島1区,,九州,古川あおい,,,
鹿児島2区,,九州,古川あおい,,,
鹿児島3区,,九州,古川あおい,,,
鹿児島4区,,九州,古川あおい,,,
沖縄1区,,九州,古川あおい,,,
沖縄2区,,九州,古川あおい,,,
沖縄3区,,九州,古川あおい,,,
沖縄4区,,九州,古川あおい,,,
